@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
0,51,0,26,0,1,1,0.662338,1,0.337662,0.796875,1,1,-0
1,50,1,26,0,1,0.980392,0.657895,0.980392,0.342105,0.787402,0.987013,0.993292,0
2,33,18,17,9,0.653846,0.647059,0.66,0.647059,0.34,0.653465,0.649351,0.996471,0
3,32,19,17,9,0.653846,0.627451,0.653061,0.627451,0.346939,0.64,0.636364,0.985994,0.826087
4,31,20,17,9,0.653846,0.607843,0.645833,0.607843,0.354167,0.626263,0.623377,0.975082,1
5,31,20,16,10,0.615385,0.607843,0.659574,0.607843,0.340426,0.632653,0.61039,0.995828,1
6,31,20,14,12,0.538462,0.607843,0.688889,0.607843,0.311111,0.645833,0.584416,1.040087,1
7,31,20,13,13,0.5,0.607843,0.704545,0.607843,0.295455,0.652632,0.571429,1.063725,1
8,31,20,12,14,0.461538,0.607843,0.72093,0.607843,0.27907,0.659574,0.558442,1.088463,1
9,10,41,1,25,0.038462,0.196078,0.909091,0.196078,0.090909,0.322581,0.142857,1.372549,1
10,9,42,1,25,0.038462,0.176471,0.9,0.176471,0.1,0.295082,0.12987,1.358824,1
11,8,43,1,25,0.038462,0.156863,0.888889,0.156863,0.111111,0.266667,0.116883,1.342048,1
12,7,44,1,25,0.038462,0.137255,0.875,0.137255,0.125,0.237288,0.103896,1.321078,1
13,6,45,1,25,0.038462,0.117647,0.857143,0.117647,0.142857,0.206897,0.090909,1.294118,1
14,5,46,1,25,0.038462,0.098039,0.833333,0.098039,0.166667,0.175439,0.077922,1.25817,1
15,4,47,1,25,0.038462,0.078431,0.8,0.078431,0.2,0.142857,0.064935,1.207843,1
16,3,48,0,26,0,0.058824,1,0.058824,0,0.111111,0.038961,1.509804,1
17,2,49,0,26,0,0.039216,1,0.039216,0,0.075472,0.025974,1.509804,1
18,0,51,0,26,0,0,?,0,?,?,0,?,1.00001
